City;Ward;Match_ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Cumilla;7;10703002;11400703002;BSCIC;BSCIC Jolar Math Boshoty;10;65;20;2;1;3;1;1;2;2;2;2;2;4;1;1;1;1;2;28
Cumilla;7;10703003;11400703003;BSCIC;BSCIC Auto Rice Mill Ar Shamner Boshoty;12;60;10;1;2;4;1;3;3;3;2;2;1;1;2;1;1;1;3;31
Cumilla;7;10703004;11400703004;BSCIC;Stile Cpmpany BSCIC Shamner Boshoty;9;35;7;3;1;4;1;1;3;4;2;4;1;4;1;1;1;1;3;35
Cumilla;7;10704001;11400704001;Paschimpara Gobindopur;Gobindopur Koborestha Ar Shamner Boshoty;5;20;10;1;2;4;1;1;1;1;1;4;2;3;1;1;1;1;3;28
Cumilla;7;10705001;11400705001;Moddho Gobindopur;Gobindopur BSCIC Boshoty;5;22;10;2;1;4;1;1;2;3;1;4;2;4;1;1;1;1;1;30
Cumilla;7;10705002;11400705002;Moddho Gobindopur;Gobindopur Khan Kashrif Boshoty;7;30;12;4;3;4;3;1;1;4;4;4;1;3;1;1;1;1;1;37
Cumilla;7;10706001;11400706001;Purbo Gobindopur;Thakur Para Afjon Khan Barir Shamne Babu Miar Bari;23;99;10;3;3;4;3;1;1;4;4;4;1;1;1;1;1;1;1;34
Cumilla;7;10706002;11400706002;Purbo Gobindopur;Thakur Para Kamaler Bari;40;195;12;4;4;4;4;1;1;4;4;4;1;2;1;1;1;1;1;38
Cumilla;7;10706003;11400706003;Purbo Gobindopur;Dokkhin Thakur Para Gobindopur Uttor Para Boshoty;90;370;100;2;1;4;3;4;1;4;4;4;1;2;1;1;1;1;1;35
Cumilla;7;10706004;11400706004;Purbo Gobindopur;Thakur Para Ashrom Bisik Mor Boshoty;42;162;9;4;3;4;4;4;1;4;4;4;1;2;1;1;1;1;1;40
Cumilla;7;10706005;11400706005;Purbo Gobindopur;Gobindopur Khanka Masjeed Ar Shamner Boshoty;150;615;295;4;1;4;3;4;1;4;4;4;4;4;1;1;1;1;1;42
Cumilla;8;10801001;11400801001;Boro Mosque To Tomchom Bridge (Dokkhin Thakurpara);Custome Godown-1;18;102;35;2;1;4;1;4;1;4;4;3;4;2;4;1;4;4;4;47
Cumilla;8;10801002;11400801002;Boro Mosque To Tomchom Bridge (Dokkhin Thakurpara);Custome Godown-2;7;42;60;2;4;4;4;1;4;4;4;4;4;2;4;2;4;4;4;55
Cumilla;8;10801003;11400801003;Boro Mosque To Tomchom Bridge (Dokkhin Thakurpara);Pal Bari;50;109;60;4;1;4;4;2;3;4;4;3;4;4;3;3;3;4;4;54
Cumilla;8;10802001;11400802001;Residential To Bagam Bari (Uttor Thakurpara);Mali Bari;5;27;45;1;1;4;1;4;1;4;4;2;2;2;4;1;4;4;4;43
Cumilla;8;10802002;11400802002;Residential To Bagam Bari (Uttor Thakurpara);Mihir Lane;30;125;45;4;3;4;2;1;2;4;4;2;3;2;1;1;1;1;1;36
Cumilla;8;10805001;11400805001;Norabad To Rammala;Khan Colony;207;891;48;2;1;4;1;4;1;4;4;3;4;2;1;1;1;1;1;35
Cumilla;8;10805002;11400805002;Norabad To Rammala;Minu Khaner Colony;21;145;49;2;1;4;1;2;1;3;4;3;3;2;1;1;1;1;1;31
Cumilla;8;10805003;11400805003;Norabad To Rammala;Nonabad Colony;130;665;68;2;1;4;1;3;1;4;4;3;3;1;3;1;3;2;3;39
Cumilla;9;10901001;11400901001;Abdul Kader Sarak Mahalla;Poschim Bagichaga O Primary School Masjeed Bari;7;28;20;1;3;4;1;1;1;1;4;4;1;4;4;1;4;4;4;42
Cumilla;9;10901002;11400901002;Abdul Kader Sarak Mahalla;Bagichagao Abdul Kader Sarak Masjeed Bari;13;35;19;1;1;4;1;1;1;1;4;3;1;3;1;1;1;1;2;27
Cumilla;9;10901003;11400901003;Abdul Kader Sarak Mahalla;VIP Boshoty;19;60;20;2;1;4;1;1;1;1;4;4;1;4;1;1;1;1;2;30
Cumilla;9;10902001;11400902001;North Chowdhury Para;Lokhi Gobindomondit Notun Chowdhury Para;5;45;115;4;4;4;1;1;1;1;4;4;1;4;1;1;1;2;2;36
Cumilla;9;10903001;11400903001;Dokkhin Bagichagao;Panir Tangki Pichoner Boshoty;6;24;40;1;4;4;4;2;2;4;4;4;1;3;4;1;4;4;4;50
Cumilla;9;10903002;11400903002;Dokkhin Bagichagao;Sarnakuthir Boshoty;7;35;10;4;1;4;4;4;1;2;4;4;1;3;1;1;1;1;2;38
Cumilla;9;10904001;11400904001;Sandor Bari Mahalla;Sordar Bari;20;100;40;4;4;4;4;3;1;4;4;4;1;1;4;1;4;4;4;51
Cumilla;9;10906001;11400906001;Gazi Bari Station Road Mahalla;Monu Miyar Bari (Station Road);5;21;40;2;1;4;1;1;3;1;4;4;1;4;4;1;4;4;4;43
Cumilla;10;11001001;11401001001;Shahid Shamsul Haque Road Jhautola;Cumilla Hospital Ar Shamner Boshoty;5;23;55;3;4;4;4;1;1;4;4;4;4;1;1;1;1;2;1;40
Cumilla;10;11001002;11401001002;Shahid Shamsul Haque Road Jhautola;Pani Unnaya Board Boshoty;15;63;32;4;4;4;4;1;1;4;4;4;1;1;4;1;4;4;4;49
Cumilla;10;11002001;11401002001;Dhormo Sagor Purbopar;Rokkha Kali Bari Boshoty;14;62;140;4;4;4;4;4;2;4;4;4;4;1;4;3;4;4;2;56
Cumilla;10;11003001;11401003001;Bagichagao;Bagichagao Boro Masjeed Ar Boshoty;36;170;90;1;1;4;2;1;1;4;4;3;1;1;1;1;1;1;1;28
Cumilla;10;11004001;11401004001;Ranirbazar & Tal Pukurpar;Doyamoy Mandirer Shamner Boshoty;5;29;100;1;1;4;3;1;1;4;4;3;1;1;1;1;1;2;1;30
Cumilla;10;11004002;11401004002;Ranirbazar & Tal Pukurpar;Ranir Bazar Suiper Colony Boshoty;8;45;90;1;1;4;4;2;1;4;4;4;4;1;1;1;1;1;1;35
Cumilla;10;11005001;11401005001;Najrul Avenue & Ramghat;Ramghat Jela Awamilig Office Ar Shamner Boshoty;10;45;40;1;1;4;3;1;3;4;4;3;3;3;1;1;1;2;1;36
Cumilla;10;11005002;11401005002;Najrul Avenue & Ramghat;Tromar Shamer Mali Bari Boshoty;7;40;100;1;3;4;3;1;1;4;4;4;1;2;4;1;4;4;4;45
Cumilla;11;11101001;11401101001;Yousef School Road (Darogabari);Mali Bari;5;25;48;2;1;4;1;1;1;4;4;4;3;4;4;4;4;4;4;49
Cumilla;11;11101002;11401101002;Yousef School Road (Darogabari);Uttor Chortha;7;35;50;2;1;4;3;3;1;4;4;4;1;4;2;1;2;2;3;41
Cumilla;11;11101003;11401101003;Yousef School Road (Darogabari);Uttor Chortha, Puraton Office;7;33;70;1;3;4;3;3;3;4;4;4;3;4;4;2;4;4;4;54
Cumilla;11;11102001;11401102001;Sadar Hospital Road (Nimtoli);Kuddos Vila;9;40;70;2;1;4;2;2;3;1;4;4;4;4;4;3;4;4;4;50
Cumilla;11;11102002;11401102002;Sadar Hospital Road (Nimtoli);Moddom Bari;5;22;70;4;3;4;1;4;4;1;3;3;3;4;4;1;4;4;4;51
Cumilla;11;11102003;11401102003;Sadar Hospital Road (Nimtoli);Sowdagor Bari;9;42;60;2;1;4;3;2;3;1;4;4;3;4;4;3;4;4;4;50
Cumilla;11;11102004;11401102004;Sadar Hospital Road (Nimtoli);Kazi Bari;6;29;65;2;1;4;3;4;2;1;4;4;3;4;4;3;4;4;4;51
Cumilla;11;11102005;11401102005;Sadar Hospital Road (Nimtoli);Showfagor Bari;9;42;50;3;1;3;2;1;3;4;4;3;4;4;4;4;4;4;4;52
Cumilla;11;11103001;11401103001;Womens College Road (Uttor Chortha);Durga Bari;5;25;50;2;1;4;1;4;2;4;4;4;3;4;2;4;4;4;4;51
Cumilla;11;11105001;11401105001;Kandirpar (Ujir Dighir Par);Khokhon Comisonarer Bari;18;78;25;2;1;4;1;4;2;1;4;4;3;4;4;3;4;4;4;49
Cumilla;11;11106001;11401106001;Munsef Bari / Deshwallipotti;Giyas Uddain (Doctor);7;33;30;2;1;4;4;4;2;1;4;4;1;3;2;1;2;1;2;38
Cumilla;11;11106002;11401106002;Munsef Bari / Deshwallipotti;Blue Bird Golli;6;30;45;4;4;4;3;1;4;3;4;4;3;4;1;1;1;2;2;45
Cumilla;12;11201001;11401201001;North Chortha;Malu Mistri;35;157;150;2;3;4;3;4;3;4;4;4;4;3;4;1;4;4;4;55
Cumilla;12;11202001;11401202001;Bishnupur Dokkhin;Fulu Mia Bari;230;1037;1150;4;3;4;4;2;2;4;4;4;3;4;2;2;2;1;2;47
Cumilla;12;11203001;11401203001;Reza Shah Paschim Pahlovi Mazar Road;Anu Mia Bari;12;55;150;4;4;4;4;3;2;4;3;3;4;2;2;1;2;1;2;45
Cumilla;12;11204001;11401204001;North Chortha Telia Pukur Par Road;Totamiyar Bari;21;90;60;4;4;4;4;4;2;4;4;4;4;2;4;3;4;4;4;59
Cumilla;12;11204002;11401204002;North Chortha Telia Pukur Par Road;Retu Master;23;140;150;4;4;4;4;3;2;3;4;3;4;2;4;2;4;4;4;55
Cumilla;12;11204003;11401204003;North Chortha Telia Pukur Par Road;Gariwala Bari;90;406;150;4;4;4;4;2;3;4;4;4;4;3;4;2;4;4;4;58
Cumilla;12;11204004;11401204004;North Chortha Telia Pukur Par Road;Manik Driber;35;157;70;4;4;4;4;1;1;3;4;3;2;3;4;2;4;4;4;51
Cumilla;12;11205001;11401205001;Bejropur Nanua Dighir Road;Muradpur;7;22;40;4;4;4;1;1;1;4;4;1;1;2;4;2;4;4;4;45
Cumilla;12;11205002;11401205002;Bejropur Nanua Dighir Road;Kuribari;8;33;120;4;4;4;3;1;2;4;4;1;1;3;4;2;4;4;4;49
Cumilla;12;11205003;11401205003;Bejropur Nanua Dighir Road;Nanua Dighir Par;6;26;50;3;2;4;1;1;2;4;4;1;1;2;4;1;4;1;4;39
Cumilla;12;11206001;11401206001;Digombori Tola;Bojropur;5;19;50;4;4;4;1;4;2;4;4;2;1;1;4;2;4;4;4;49
Cumilla;12;11206002;11401206002;Digombori Tola;Gangguli Goli;7;21;55;4;2;4;2;1;2;4;4;2;1;2;4;2;4;4;4;46
Cumilla;12;11206003;11401206003;Digombori Tola;Lokkhi Narayan Area;25;129;110;4;4;4;4;1;2;4;4;1;1;2;4;1;4;4;4;48
Cumilla;12;11206004;11401206004;Digombori Tola;Azim Los Goli;15;80;75;4;4;4;4;2;2;4;3;2;1;2;4;1;4;4;4;49
Cumilla;13;11304001;11401304001;South Chortha Chowmuhuni Road;South Chortha Bowbazar;10;38;50;4;4;4;4;2;3;4;3;2;2;4;4;2;4;4;4;54
Cumilla;13;11304002;11401304002;South Chortha Chowmuhuni Road;Hafiz Bari- Syed Bari;20;85;50;4;3;4;2;3;3;4;4;3;2;4;4;2;4;4;4;54
Cumilla;13;11304003;11401304003;South Chortha Chowmuhuni Road;Colony Para;20;85;50;4;4;4;3;3;3;4;3;2;2;4;4;2;4;4;4;54
Cumilla;13;11305001;11401305001;Boro Pukur Par Road-EPZ Road;Modon Miyar Bari;8;37;75;4;4;4;3;3;3;4;4;4;2;4;4;2;4;4;4;57
Cumilla;13;11306001;11401306001;Thira Pukur Par Road;Masjeed Golly;60;230;75;2;3;4;3;3;2;4;4;4;2;3;4;2;3;4;4;51
Cumilla;13;11306002;11401306002;Thira Pukur Par Road;Vendar Golly;30;130;100;3;3;4;2;1;2;4;4;2;2;4;4;2;4;4;4;49
Cumilla;13;11306003;11401306003;Thira Pukur Par Road;Panir Pump Golly;20;93;15;4;4;4;3;3;3;4;3;2;2;4;4;2;4;4;4;54
Cumilla;13;11307001;11401307001;Jinar Pukur Par Road;Zinnat Alir Bari;15;72;100;4;4;4;3;2;3;4;4;2;2;4;4;2;4;4;4;54
Cumilla;13;11307002;11401307002;Jinar Pukur Par Road;Kanu Sorddar Bari;8;31;50;4;4;4;2;2;3;4;4;3;2;4;4;1;4;4;4;53
Cumilla;13;11307003;11401307003;Jinar Pukur Par Road;Jut Wala Fakir Bari;10;41;50;2;1;4;2;1;2;4;4;2;2;4;4;1;4;4;4;45
Cumilla;13;11307004;11401307004;Jinar Pukur Par Road;Hindu Bari;8;32;50;2;2;4;3;2;4;4;4;3;2;3;4;1;4;4;4;50
Cumilla;15;11501001;11401501001;Boyropur - Moulovipara;Molla Bari;26;122;101;2;1;4;1;1;3;1;3;3;2;3;3;4;4;4;4;43
Cumilla;15;11501002;11401501002;Boyropur - Moulovipara;Baludhum Poschim Para;27;125;100;2;1;4;1;1;2;1;3;3;2;3;2;3;4;1;1;34
Cumilla;15;11501003;11401501003;Boyropur - Moulovipara;Shaju Comisonarer Bari;18;92;100;2;1;4;1;1;3;2;3;4;4;3;4;4;4;4;4;48
