Poor Settlement Name;Poor Settlement-ID (DB);Poor Settlement Name (DB);Mahalla-ID (DB);Mahalla Name (DB);Ward-ID (DB);Ward Name (DB);Similarity (%);verify status;Coordinates
Ana Miah Sardar Bari;17794;Ana Miah Sardar Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08778392939463, 22.868097645742274], [91.08839352735981, 22.86809347627918], [91.08842502435245, 22.869452856021894], [91.08770191701517, 22.869476950765403], [91.08779433707265, 22.868107148976808], [91.08778392939463, 22.868097645742274]]]}
Khan Bari, Sultan Ahmed Bari;17795;Khan Bari, Sultan Ahmed Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'Polygon', 'coordinates': [[[91.08795850947268, 22.870557128313777], [91.08796884207598, 22.87055705764416], [91.08882551172523, 22.87043630068425], [91.08887493228126, 22.871450871705687], [91.08799675210358, 22.871466455185995], [91.08795850947268, 22.870557128313777]]]}
Khan Bari;17796;Khan Bari;14349;West Krishnarampur;8354;4;100;1;{'type': 'MultiPolygon', 'coordinates': [[[[91.085230109176, 22.871816950538825], [91.08520965589919, 22.87182060460966], [91.08523024524689, 22.871810889736818], [91.085230109176, 22.871816950538825]]], [[[91.085230109176, 22.871816950538825], [91.08548825174476, 22.871770830749746], [91.08545255332885, 22.872479596276428], [91.08521498084288, 22.87249079172624], [91.085230109176, 22.871816950538825]]]]}
Sabid Miya Chairman Bari;17807;Bashir Miya Bari;14366;East Mohoduri;8355;5;33;0;{'type': 'Polygon', 'coordinates': [[[91.10111882228946, 22.85618999906073], [91.10152960051845, 22.856158939095405], [91.101532562908, 22.856584240275723], [91.10137053802578, 22.85664982321524], [91.10109212552824, 22.85657702656807], [91.10111882228946, 22.85618999906073]]]}
Sultan Mahmud Chaprashi Bari;17797;Sultan Mahmud Chaprashi Bari;14368;West Mohoduri;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.10129692544581, 22.850527863092562], [91.10108296274628, 22.850124811704067], [91.10085428859762, 22.849763709027226], [91.10138116039172, 22.8497740142011], [91.10192870549022, 22.850481644395813], [91.10131220087392, 22.850555656818997], [91.10129692544581, 22.850527863092562]]]}
Abul Baashar Miya Bari;17798;Abul Baashar Miya Bari;14366;East Mohoduri;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.10369360700622, 22.849975774295388], [91.10330261806635, 22.85001536420587], [91.10320080911006, 22.849727169926084], [91.1034986018597, 22.84964519673597], [91.1036869733802, 22.849975820289774], [91.10369360700622, 22.849975774295388]]]}
Bulu Sardar Bari;17799;Bulu Sardar Bari;14366;East Mohoduri;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.10324432140551, 22.849296132735063], [91.10359536572821, 22.849238377525225], [91.10375062820827, 22.849575378044673], [91.10356523358335, 22.84961354287901], [91.1034920324396, 22.84958331746291], [91.10342531708694, 22.849534604617727], [91.10328639460698, 22.849578596273382], [91.10319374682594, 22.84960382558468], [91.10317968810978, 22.84950557418766], [91.10316558078208, 22.84940117383867], [91.10315825488948, 22.849315169832476], [91.1032444205946, 22.84930842610289], [91.10324432140551, 22.849296132735063]]]}
Budhu Soudagar Bari;17800;Budhu Soudagar Bari;14365;West Rajarampur;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.10373768962766, 22.857677322275624], [91.10402729598312, 22.85762411488521], [91.10422406370807, 22.857621489541845], [91.10424670035658, 22.857869875321004], [91.10408229011976, 22.857896983305253], [91.10412737989328, 22.858045804036166], [91.10415655357868, 22.858237594034918], [91.10412975797911, 22.858340176987706], [91.10392208331673, 22.858277620278294], [91.10356238852913, 22.85820331681089], [91.10353301193159, 22.857985929270296], [91.1035435150117, 22.85757627182218], [91.10373768962766, 22.857677322275624]]]}
Dish Samader Bari;17801;Dish Samader Bari;14367;Guptanko;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.09741561162001, 22.861300531647032], [91.09741472556192, 22.861190195661532], [91.09727681907748, 22.86118533884405], [91.09722931885412, 22.860732684058423], [91.0971531457983, 22.860611253263013], [91.09722160675607, 22.86055270713269], [91.09724625207512, 22.860500269164127], [91.09738406461227, 22.860493512765874], [91.0976720335558, 22.86045668212254], [91.09771042391215, 22.860555141868858], [91.0977118232847, 22.86072935624592], [91.09772589513007, 22.860920906773984], [91.09774145975682, 22.8612982840218], [91.09741561162001, 22.861300531647032]]]}
Ahammad Manjil;17802;Ahammad Manjil;14367;Guptanko;8355;5;100;1;{'type': 'Polygon', 'coordinates': [[[91.09707972331391, 22.859984887415486], [91.09709225574112, 22.859984801012356], [91.09732429555413, 22.860006430700636], [91.09745560673645, 22.85997068069218], [91.0977435755339, 22.859933849953975], [91.09773810083628, 22.860032615010113], [91.09775778624387, 22.860142820409322], [91.09774628100784, 22.86027066545894], [91.09767243895192, 22.860439590122947], [91.09753476641757, 22.860463769381674], [91.09730922665096, 22.860471133599898], [91.09720882602606, 22.860454402339414], [91.09712011777161, 22.86033305795096], [91.09706868264146, 22.860170803322593], [91.09707972331391, 22.859984887415486]]]}
