Ward;Mahalla Name;Settlement Name;Match ID
9;Ramgobindratari;Aponpara;10903004
9;Chilman Purbopara;Purbopara Masjeed Mor;10904001
9;Chilman Purbopara;Kachna Tukutary-2;10904002
9;Chilman Purbopara;Baniatary;10904003
9;Chilman Purbopara;Sarkar Tary;10904004
9;Chilman Moddho Para;Nurul Huda Boshoty;10905001
9;Chilman Moddho Para;Adul Hadi Boshoty (Radio);10905002
9;Chilman Moddho Para;Rustom Ali;10905003
9;Chilman Moddho Para;Kagoj (Aminul);10905004
9;Chilman Moddho Para;Kachna Tukitary-1;10905005
9;Chilman Moddho Para;Khokoner Barir Pichone;10905006
9;Khalishakuri;Khalisakuri Hat;10906001
9;Khalishakuri;Nazir Decorator;10906002
9;Shahebgonj;Mafu Pion;10907001
9;Shahebgonj;Shah Alam;10907002
9;Shahebgonj;Faruk Mia;10907003
9;Bircharan;Md. Anarul Islam;10908001
9;Bircharan;Prothab Master;10908002
9;Bircharan;Md. Abu Mia;10908003
9;Bircharan;Barek Boshoty;10908004
9;Sonalipara;Md. Raza Mia Boshoty;10909001
9;Sonalipara;Md. Nur Islam;10909002
9;Sonalipara;Md. Anapul Islam;10909003
9;Sonalipara;Md. Ringku Mia;10909004
9;Sonalipara;Mrs. Nur Nahar;10909005
9;Bahar Kachna Hazi Para;Hazi Para;10910001
9;Bahar Kachna Hazi Para;Teptary Masjeed Ar Par;10910002
9;Bahar Kachna Hazi Para;Bangi Tary;10910003
9;Bahar Kachna Hazi Para;Shobhan Tary;10910004
10;Poschim Gilabari;Kalla Khawer Tari;11001001
10;Poschim Gilabari;Degol Tari;11001002
10;Poschim Gilabari;Dhorar Pae;11001003
10;Purbo Gilabari;Haider Member Para;11002001
10;Purbo Gilabari;Bagha Para;11002002
10;Purbo Gilabari;Chowra Para;11002003
10;Baktarpur(Uchatari);Uttar Uchatari;11003001
10;Baktarpur(Uchatari);Dokhin Pathan Para;11003002
10;Baktarpur (Ghaterpar Poschimpara);Ghater Par;11004001
10;Baktarpur (Ghaterpar Poschimpara);Mahrir Mor;11004002
10;Baktarpur (Ghaterpar Poschimpara);Machoya Para;11004003
10;Baktarpur (Ghaterpar Poschimpara);Khan Para;11004004
10;Purbo Jagadishpur;Shorder Para;11005001
10;Purbo Jagadishpur;Purbo Jagadishpur (Hintho Para);11005002
10;Purbo Jagadishpur;Purbo Jagadishpur(Dokhin Para);11005003
10;Purbo Jagadishpur;Purbo Jagadishpur(Danger Tari);11005004
10;Moddho Jagadispur;Bala Para;11006001
10;Moddho Jagadispur;Battola Hindu Para;11006002
10;Moddho Jagadispur;Dukdugir Biat Hindu Para (Dokhin);11006003
10;Moddho Jagadispur;Jagodish Pur Shapara;11006004
10;Moddho Jagadispur;Teli Para;11006005
10;Poschim Jagadispur;Darar Per;11007001
10;Poschim Jagadispur;Botthola Jagodish Pur;11007002
10;Poschim Jagadispur;Jagodish Pur;11007003
10;Poschim Jagadispur;Mondoll Para;11007004
10;Poschim Jagadispur;Bani Tari;11007005
10;Poschim Gilabari (Kaibarta Para);Koibortho Para;11008001
10;Poschim Gilabari (Kaibarta Para);Der Halia;11008002
11;Binnatari;Adorsho gram;11101001
11;Moddho Binnatari;Moddhopara;11102001
11;Moddho Binnatari;Masterpara;11102002
11;Moddho Binnatari;Bania Para;11102003
11;Dokkhin Binnatari;Jummapara;11103001
11;Dokkhin Binnatari;Ghatpara;11103002
11;Dokkhin Binnatari;Gangerpar;11103003
11;Uttor Binnatari;Dalaltary;11104001
11;Uttor Binnatari;Mayatali;11104002
11;Uttor Binnatari;Mirpara;11104003
11;Utta Kamdabpur;Poschim Para;11105001
11;Utta Kamdabpur;Mohot Para;11105002
11;Utta Kamdabpur;Purbo Para;11105003
11;Utta Kamdabpur;Jumma Para;11105004
11;Danght;Danghat Er Mor;11106001
11;Dokkhin Kamdabpur;Master Para;11107001
11;Dokkhin Kamdabpur;Uttor Para;11107002
11;Dokkhin Kamdabpur;Majpara;11107003
11;Dokkhin Kamdabpur;Dokkhin Para;11107004
11;Dokkhin Kamdabpur;Purbo Para;11107005
11;Poschim Rajendrapur;Khanpara;11108001
11;Poschim Rajendrapur;Tat Para;11108002
11;Shalmara;Bilerpar;11109001
11;Shalmara;Shoid Er Mor;11109002
11;Shalmara;Bazar Par;11109003
11;Azimpur;Azimpur;11110001
11;Kamarpar;Goalpara;11111001
11;Mostobpur;Napit Para;11112001
11;Mostobpur;Piajir Mor;11112002
11;Purbo Rajendrapur;Master Para;11113001
11;Purbo Rajendrapur;Mondirpara;11113002
11;Hori Mondirpara;Mondirpara-1;11114001
11;Hori Mondirpara;Bazar Para;11114002
11;Hori Mondirpara;Chatal Para;11114003
11;Hori Mondirpara;Dhorar Para;11114004
12;Masterpara;Sribash Kamar (Roy Para);11201001
12;Masterpara;Naresh (Masua) Roy Para;11201002
12;Masterpara;Profullo Roy (Roy Para);11201003
12;Masterpara;Kasi Roy (Roy Para);11201004
12;Masterpara;Kazi Mia (College Para);11201005
12;Masterpara;Fazlu Miah (School Para);11201006
12;Masterpara;ENU Nikari (Bala Para);11201007
12;Masterpara;Tobarak Hossain Bablu (Boksi Para);11201008
12;Gopinathpur;Saiful/ Raja Para;11202001
12;Gopinathpur;Azizar Monjjin Para;11202002
12;Gopinathpur;Dr.Mofijul Chowdhory Para;11202003
12;Gopinathpur;Dulal Master Para;11202004
12;Gopinathpur;Abdul Hai/ Soto Miah Para;11202005
12;Gopinathpur;Dula Stall Para;11202006
12;Gopinathpur;Badia Para;11202007
12;Gopinathpur;Chowdhory Para;11202008
12;Parkhi Frandra;Upendro (Master Para);11203001
12;Parkhi Frandra;Badol Para;11203002
12;Parkhi Frandra;Sobod Para;11203003
12;Parkhi Frandra;Kmon Para;11203004
12;Parkhi Frandra;Abdul Mannan (Boksipara);11203005
12;Parkhi Frandra;Dulal Para;11203006
12;Parkhi Frandra;Jogodish Barman (Sutar Para);11203007
12;Parkhi Frandra;Bhulu Barman;11203008
12;Parkhi Frandra;Nitta Barman (Khamar Para);11203009
12;Parkhi Frandra;Pori Barman (Khamar Para);11203010
12;Parkhi Frandra;Subol Barmanpur;11203011
12;Jalkaria;Moslem (Muyajiner Bari);11204001
12;Jalkaria;Ruhul Amin Bari;11204002
12;Jalkaria;Jelhar Member;11204003
12;Jalkaria;Sakir Bari;11204004
12;Jalkaria;Suit Ar Bari;11204005
12;Jalkaria;Jillur Rahman;11204006
12;Jalkaria;Bipul Chondro Shil;11204007
12;Jalkaria;Kasem Bazar;11204008
12;Bhobanipur;Guccho Gram;11205001
12;Bhobanipur;Sofiqul Ar Bari;11205002
12;Bhobanipur;Asader Bari;11205003
12;Bhobanipur;Sultan;11205004
12;Bhobanipur;Shajahan;11205005
12;Bhobanipur;Montaj;11205006
12;Bhobanipur;Anoyara;11205007
12;Bhobanipur;Nojrul Islam;11205008
12;Chok Isabpur;Abu Said Para;11206001
12;Chok Isabpur;Community Clinic;11206002
12;Chok Isabpur;Noya Mia Para;11206003
12;Chok Isabpur;Sadikul Para;11206004
12;Poschim Gopinathpur;Shomser Doctor;11207001
12;Poschim Gopinathpur;Toyab Ali Para;11207002
12;Poschim Gopinathpur;Samin Para;11207003
12;Poschim Gopinathpur;Hindu Para;11207004
12;Poschim Gopinathpur;Comiunity Clinic Para;11207005
12;Purbo Gopinathpur;Manju Sir;11208001
12;Purbo Gopinathpur;Jahid Journaliet;11208002
12;Purbo Gopinathpur;Dram Siddik Para;11208003
12;Purbo Gopinathpur;Sultan/ Alom Para;11208004
12;Poschim Radha Krisnapur;Bala Para;11209001
12;Poschim Radha Krisnapur;Nizabuddi Park;11209002
12;Poschim Radha Krisnapur;Chowdhury Para;11209003
12;Poschim Radha Krisnapur;Rofiqul Para;11209004
12;Purbo Radha Krisnapur;Roton Councilor;11210001
12;Purbo Radha Krisnapur;Moksu Driver;11210002
12;Purbo Radha Krisnapur;Majeder Bari;11210003
12;Purbo Radha Krisnapur;Majeder Bari;11210004
12;Purbo Radha Krisnapur;Safiul Alam;11210005
12;Khenpara;Hindu Para-1;11211001
12;Khenpara;Hindu Para-2;11211002
12;Khenpara;Hindu Para -3;11211003
13;Pirzabad;Bottolar Mor;11301001
13;Pirzabad;Moja Member Ar Para;11301002
13;Pirzabad;North Haria Para;11301003
13;Pirzabad;Haria Para;11301004
13;Pirzabad;Primary School Ar Mor;11301005
13;Pirzabad;BRAC Primary School Ar Mor;11301006
13;Jugipara;Ucha Gram;11302001
13;Jugipara;Jugitari;11302002
13;Jugipara;Bepari Para;11302003
13;Shommanipur Purbo;Dangi Para;11303001
13;Shommanipur Purbo;Hareya Park;11303002
13;Shommanipur Purbo;Mokrullah Para;11303003
13;Shommanipur Purbo;Moddho Shommanipara;11303004
13;Shommanipur Purbo;Mia Para;11303005
13;Shommanipur Purbo;Shommoanipur;11303006
13;Shommanipur Purbo;Bala Para;11303007
13;Holarpukur;Holkar Para;11304001
13;Holarpukur;Kona Tary;11304002
13;Holarpukur;Holar Pukur Madrasha Tary;11304003
13;Holarpukur;Gabtoli;11304004
13;Holarpukur;Gabtoli Madhan Kholar Math;11304005
13;Holarpukur;Boro Moydan Math;11304006
13;Shommanipur Poschim;Abjer Tary;11305001
13;Shommanipur Poschim;Bala Para;11305002
13;Shommanipur Poschim;Monir Tary;11305003
13;Shommanipur Poschim;Shommanipur Bottola;11305004
13;Shommanipur Poschim;Gabtoli Bottola;11305005
13;Shommanipur Poschim;Moherur Mor;11305006
13;Boro Moydan;Boro Moydan Eid Gha;11306001
13;Boro Moydan;Damuddor Shatghoriya;11306002
13;Boro Moydan;Pramonik Para;11306003
13;Boro Moydan;Chowdhury Para;11306004
13;Nishibetgonj;West Pirjabad/ Bepary Para;11307001
13;Nishibetgonj;Choto Moydan/ Bepari Para;11307002
13;Nishibetgonj;Labur Mil;11307003
13;Nishibetgonj;Rohmot Para Koshay Potty;11307004
13;Nishibetgonj;Shutar Tary;11307005
13;Nishibetgonj;Tale Tary;11307006
13;Nishibetgonj;Faksia Tary;11307007
13;Nishibetgonj;Munshir Mor;11307008
14;Dangipar(Dolapara);North Dangirpar;11401001
14;Dangipar(Dolapara);South Dangir Para;11401002
14;Dangipar(Dolapara);Deodoba;11401003
14;Pathan Para;Nodir Par;11402001
14;Pathan Para;Chand Kuty;11402002
14;Pathan Para;Baniapara Labour Dokan;11402003
14;Pathan Para;Pathan Para Jame Masjeed;11402004
14;Moddho Deodoba & Paikar Para;Paikar Bazar Jame Masjeed;11403001
14;Moddho Deodoba & Paikar Para;South Paikar Para;11403002
14;Moddho Deodoba & Paikar Para;Hindu Para Amzad Dokan;11403003
14;Moddho Deodoba & Paikar Para;Mukta Para;11403004
