City;Ward;Match ID;New ID;Mahalla Name;Settlement Name;Households;Population;Settlement Age;Condition of access roads;Availability of drains;Electricity coverage;Solid waste collection service;Access to piped water supply;Availability of hygienic toilet;Street lighting;Attendance of children at school;Households with employment;Household income;Social problems;Land tenure security;Housing condition;Risk of eviction;Land Ownership;Type of Occupancy;Total Score
Dhaka South City Corporation;53;1235304001;;College Road, WASA Goli, Taltola Goli, Naborun Goli, Kala Mia Sordar Goli;Zikirulla Mosque Area;700;3500;45;2;3;4;1;3;3;2;2;2;3;2;2;3;4;4;3;43
Dhaka South City Corporation;53;1235305001;;Sobujbag, Afsir Korim Road, 1 no. Sorok;Sobujbag Khalpar Area;600;3000;45;2;1;4;1;3;2;4;1;2;2;3;4;3;4;4;4;44
Dhaka South City Corporation;53;1235305002;;Sobujbag, Afsir Korim Road, 1 no. Sorok;Bandura Goli Area;800;4000;35;2;3;4;2;2;4;4;2;3;4;3;4;3;4;4;2;50
Dhaka South City Corporation;53;1235306001;;Nurani Mosjid Area, Mistir Dokan, Kobi Nojrul Goli, Hazi Khorshed Ali House With Bikrampur Plaza;Hazi Khorshed Ali Road (South Side);800;4200;45;3;1;4;2;3;4;4;2;3;4;3;4;4;4;4;2;51
Dhaka South City Corporation;53;1235306002;;Nurani Mosjid Area, Mistir Dokan, Kobi Nojrul Goli, Hazi Khorshed Ali House With Bikrampur Plaza;Kobi Najrul Lane, Gas Pipe, Kana Jobbarer Goli;600;3200;40;2;3;4;3;3;2;4;1;1;2;3;2;4;4;4;4;46
Dhaka South City Corporation;53;1235306003;;Nurani Mosjid Area, Mistir Dokan, Kobi Nojrul Goli, Hazi Khorshed Ali House With Bikrampur Plaza;Kanu Sha Goli, Purbo Jurain Govt. Primary School;750;3000;40;2;3;4;2;2;4;4;3;4;3;3;2;4;4;1;2;47
Dhaka South City Corporation;54;1235401001;;Alombag;Alombag Chistiya Road;500;2500;45;4;3;4;4;3;3;3;4;3;4;3;4;4;4;4;2;56
Dhaka South City Corporation;54;1235401002;;Alombag;Rail Line Bosti;625;3750;42;3;1;4;3;3;2;1;3;3;3;3;4;4;4;4;2;47
Dhaka South City Corporation;54;1235402001;;Majar Area;Majar Area;200;900;50;4;4;4;4;4;4;4;3;3;1;4;3;1;3;1;1;48
Dhaka South City Corporation;54;1235403001;;Karimullabag;Hafajnagar Bazar Goli;221;663;30;4;4;4;4;4;4;4;4;3;3;3;1;2;1;3;2;50
